yrke_raa,antall_personer,normalisert,kategori,kilde,notat
Løsarbeider,22,Løsarbeider,Dagarbeid,regel,
Skolepige,21,Skolebarn,Skoleelev,regel,
Husbestyrerinde,19,Husbestyrerinne,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Skræddersvend,19,Skreddersvenn,Tekstil og søm,regel,
Vaskekone,18,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Skibstømmermand,18,Skipstømmermann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Handelsbetjent,17,Butikk-/handelsbetjent,Handel,regel,
barn,17,Barn,Uten registrert yrke,regel,
Butikjomfru,16,Butikkdame/expiditrise,Handel,regel,
Hm,16,Hustru/husmor,Husarbeid,regel,
Skomagersvend,16,Skomakersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Spinderiarbeiderske,16,Spinneriarbeider,Industri,regel,
ingen,16,Uten yrke,Uten registrert yrke,regel,
Bagersvend,15,Bakersvenn,Mat og drikke,regel,
Strygeforretning,15,Strykerske,Tekstil og søm,regel,
Lærerinde,15,Lærer/Lærerinne,Undervisning,regel,
Snedker,14,Snekker,Håndverk,regel,lærling uten fag: antatt håndverk
Kokkepige,13,Kokkepike,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Sømmerske,13,Sypike/syerske,Tekstil og søm,regel,
arb Trælasttomter,13,Tomtearbeider,Treindustri,regel,
Intet Erhverv,13,Uten yrke,Uten registrert yrke,regel,
Tømmermand,12,Bygningstømrer/-snekker,Bygg og anlegg,regel,maler = bygningsmaler
Tjenestetyende,12,Tjenestetyende,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Bagermester,12,Bakermester,Mat og drikke,regel,
Korporal,12,Korporal,Militær,regel,slumoffiser/frelsesarmé regnet hit; kan diskuteres
Matros,12,Matros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sagarbeider,12,Sagbruksarbeider,Treindustri,regel,
Bygningssnedker,11,Bygningstømrer/-snekker,Bygg og anlegg,regel,maler = bygningsmaler
Fattigunderstøttelse,11,Understøttes av fattigvesen,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Legat,11,Understøttes av legat,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Visergut,11,Visergutt,Handel,regel,
Husgjerningen,11,Husgjerning,Husarbeid,regel,
Stuer,11,Stuer/bryggearbeider,Sjøfart,regel,
Skoledicipel,11,Skolebarn,Skoleelev,regel,
Skræddermester,11,Skreddermester,Tekstil og søm,regel,
Dagarbeider,10,Dagarbeider,Dagarbeid,regel,
Samtlige underholdes af asylet ved frivillige (private) bidrag,10,Understøttes av frivillige bidrag,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Visegut,10,Visergutt,Handel,regel,
husgjerning,10,Husgjerning,Husarbeid,regel,
Barnepige,10,Barnepike,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
T.J.,10,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Smed,10,Smed,Håndverk,regel,lærling uten fag: antatt håndverk
Smedlærling,10,Smedlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Notlerske,10,Notler/notlerske,Industri,regel,
Skofabriksarbeider,10,Skofabrikarbeider,Industri,regel,
Kjører,10,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Ingenting,10,Uten yrke,Uten registrert yrke,regel,
Livrente,9,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Fiskehandler,9,Fiskehandler,Handel,regel,
Handelsmand,9,Kjøpmann/handelsmann,Handel,regel,
Bryggeriarbeider,9,Bryggeriarbeider,Mat og drikke,regel,
Politikonstabel,9,Politikonstabel,Offentlig tjeneste,regel,
Skolebørn,9,Skolebarn,Skoleelev,regel,
Syforretning,9,Syforretning,Tekstil og søm,regel,
Væverske,9,Veverske,Tekstil og søm,regel,
Arbeider ved Trælastforretn.,9,Trelastarbeider,Treindustri,regel,
Bordhusarbeider,9,Bordhusarbeider,Treindustri,manuell,
Sagbrugsarbeider,9,Sagbruksarbeider,Treindustri,regel,
Malermester,8,Malermester,Bygg og anlegg,regel,maler = bygningsmaler
Arbeider,8,Arbeider,Dagarbeid,regel,
Huseier,8,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
off underst,8,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Agent,8,Agent,Handel,regel,
St. Josephs ordenssøster,8,St. Josephs ordenssøster,Helse,regel,
Husarbeide,8,Husgjerning,Husarbeid,regel,
tjenestepige,8,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Skomagermester,8,Skomakermester,Håndverk,regel,lærling uten fag: antatt håndverk
Snedkersvend,8,Snekkersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Fyrstikfabrikarbeiderske,8,Fyrstikkfabrikkarbeider,Industri,regel,
væverske ved Haldens væveri,8,Veveriarbeider,Industri,regel,
Kontorist,8,Kontorist,Kontor og forvaltning,regel,formann/mester uten bransje: se notat
Bagerlærling,8,Bakerlærling,Mat og drikke,regel,
Artillerist,8,Artillerist,Militær,regel,slumoffiser/frelsesarmé regnet hit; kan diskuteres
Dampskibsfører,8,Dampskibsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Sjømand,8,Sjømann,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skibsfører,8,Skipsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Arbeider ved Høvleriet,8,Høvleriarbeider,Treindustri,regel,
Graastensmurer,7,Gråsteinsmurer,Bygg og anlegg,regel,maler = bygningsmaler
Hustømmermand,7,Bygningstømrer/-snekker,Bygg og anlegg,regel,maler = bygningsmaler
Huseierske,7,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Handlende,7,Kjøpmann/handelsmann,Handel,regel,
Kreaturhandler,7,Kreaturhandler/kveghandler,Handel,regel,
Husets Stel,7,Husgjerning,Husarbeid,regel,
Vaskerkone,7,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Skomager paa Skofabrik,7,Skofabrikarbeider,Industri,regel,
Slagter,7,Slakter,Mat og drikke,regel,
Stenhuger,6,Stenhugger,Bygg og anlegg,regel,maler = bygningsmaler
Løs-Arbeider,6,Løsarbeider,Dagarbeid,regel,
Haandgjerning fattigunderst.,6,Håndgjerning fattigunderstøttelse,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Husgjærning,6,Husgjerning,Husarbeid,regel,
hustru,6,Hustru/husmor,Husarbeid,regel,
Stuepige,6,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
tj,6,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Typograf,6,Typograf,Håndverk,regel,lærling uten fag: antatt håndverk
Arbeider Bomuldspinderi,6,Spinneriarbeider,Industri,regel,
Spiseforretning,6,Spiseforretning,Mat og drikke,regel,
"Fastlønnet hornblæser, Gaardsarbeider hos Faderen",6,Hornblåser,Militær,regel,slumoffiser/frelsesarmé regnet hit; kan diskuteres
Politibetjent,6,Politibetjent,Offentlig tjeneste,regel,
Toldopsynsmand,6,Tolloppsynsmann,Offentlig tjeneste,regel,
Stuert,6,Stuert,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Middelskoleelev,6,Skolebarn,Skoleelev,regel,
Skrædder,6,Skredder,Tekstil og søm,regel,
Saugbrugsarbeider,6,Sagbruksarbeider,Treindustri,regel,
Malerlærling,5,Malerlærling,Bygg og anlegg,regel,maler = bygningsmaler
Murer,5,Murer,Bygg og anlegg,regel,maler = bygningsmaler
Murersvend,5,Murersvenn,Bygg og anlegg,regel,maler = bygningsmaler
Stenhuggerarbeider,5,Stenhugger,Bygg og anlegg,regel,maler = bygningsmaler
Pensionist,5,Pensjonist,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Rentenist,5,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Fotograf,5,Fotograf,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
Kvæghandler,5,Kreaturhandler/kveghandler,Handel,regel,
Kone,5,Hustru/husmor,Husarbeid,regel,
Enepige,5,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Maanedspige,5,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestepige Husgjerning,5,Tjenestepige/husholderske,Huslig tjeneste,manuell,
Vadskekone,5,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Smedsvend,5,Smedsvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Arbeider paa Spinderiet,5,Spinneriarbeider,Industri,regel,
Fabrikarbeider,5,Fabrikkarbeider,Industri,regel,
Fabrikarbeiderske,5,Fabrikkarbeider,Industri,regel,
Kontordame,5,Kontordame,Kontor og forvaltning,regel,formann/mester uten bransje: se notat
Telefonistinde,5,Telefonist,Kontor og forvaltning,regel,formann/mester uten bransje: se notat
Slagtermester,5,Slaktermester,Mat og drikke,regel,
Slagtersvend,5,Slaktersvenn,Mat og drikke,regel,
Brygearbeider,5,Stuer/bryggearbeider,Sjøfart,regel,
Fyrbøder,5,Fyrbøter (skip),Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Stuer Arbeider,5,Stuer/bryggearbeider,Sjøfart,regel,
Skolediscipel,5,Skolebarn,Skoleelev,regel,
Skolelev,5,Skolebarn,Skoleelev,regel,
Modeforretning,5,Motehandler,Tekstil og søm,regel,
Brødkjører,5,Brødkjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Kjøregut,5,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Lokomotivfører,5,Lokomotivfører,Transport,regel,"jernbane samlet her, også funksjonærene"
Ramskjærer,5,Rammeskjærer,Treindustri,regel,
Tomtarbeider,5,Tomtearbeider,Treindustri,regel,
Datterdatter,5,Barn,Uten registrert yrke,regel,"familiestilling, ikke yrke"
Dattersøn,5,Barn,Uten registrert yrke,regel,"familiestilling, ikke yrke"
Ingen Stiling,5,Uten yrke,Uten registrert yrke,regel,
intet Erhverv,5,Uten yrke,Uten registrert yrke,regel,
Bygningsnedker,4,Byggningssnekker,Bygg og anlegg,regel,maler = bygningsmaler
Stenhuggare,4,Stenhugger,Bygg og anlegg,regel,maler = bygningsmaler
Arbeiderske,4,Arbeider,Dagarbeid,regel,
Jordarbeider,4,Arbeider,Dagarbeid,regel,
Gaardeier,4,Huseier/gårdeier,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af sine Midler,4,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Lever af sine midler,4,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Næring af formue,4,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
offentlig understøttelse,4,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Læge,4,Lege,Helse,regel,
Husholdningen,4,Husgjerning,Husarbeid,regel,
Gaardsgut,4,Gårdsgutt,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Gaardskarl,4,Gårdsgutt,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Husjomfru,4,Tjenestepike/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Pige,4,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tj,4,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestegut,4,Tjener,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Bogbinder,4,Bokbinder,Håndverk,regel,lærling uten fag: antatt håndverk
Læregut,4,Lærling,Håndverk,regel,lærling uten fag: antatt håndverk
Smedemester,4,Smedmester,Håndverk,regel,lærling uten fag: antatt håndverk
Snedkermester,4,Snekkermester,Håndverk,regel,lærling uten fag: antatt håndverk
Tøffelmager,4,Tøffelmaker,Håndverk,regel,lærling uten fag: antatt håndverk
Arbeider ved Skofabrik,4,Skofabriksarbeider,Industri,regel,
Arbeiderske Bomuldspinderi,4,Spinneriarbeider,Industri,regel,
Elektrikker i Frhald,4,Elektriker,Industri,regel,
Fyrstikarbeiderske,4,Fyrstikkfabrikkarbeider,Industri,regel,
Fyrstikfabrikarbeider,4,Fyrstikkfabrikkarbeider,Industri,regel,
Spinderiarbeider,4,Spinneriarbeider,Industri,regel,
Musikelev,4,Musikelev (militær),Militær,regel,slumoffiser/frelsesarmé regnet hit; kan diskuteres
Musiksergent,4,Musikksersjant,Militær,regel,slumoffiser/frelsesarmé regnet hit; kan diskuteres
Postbud,4,Postbud,Offentlig tjeneste,regel,
Lods,4,Los,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
skoledecipil,4,Skolebarn,Skoleelev,regel,
Søn - Skolesøgende,4,Skolesøkende,Skoleelev,regel,
Vognmandsgut,4,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Ølkjører,4,Ølkjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Arbeider ved Høvleri,4,Høvleriarbeider,Treindustri,regel,
Høvleri arbeider,4,Høvleriarbeider,Treindustri,regel,
høvleriarbeider,4,Høvleriarbeider,Treindustri,regel,
Høvleriarbejder,4,Høvleriarbeider,Treindustri,regel,
Propsarbeider,4,Trelastarbeider,Treindustri,regel,
Sagfiler,4,Sagfiler,Treindustri,regel,
Tomtearb. v/ Saugbrug,4,Tomtearbeider,Treindustri,regel,
Trælastarbeider,4,Trelastarbeider,Treindustri,regel,
Lærerinde ved folkeskolen,4,Lærer/Lærerinne,Undervisning,regel,
Børn Hjemmeværende,4,Barn,Uten registrert yrke,regel,forsørget av familien
Datter!!,4,Barn,Uten registrert yrke,regel,"familiestilling, ikke yrke"
hjemme,4,Husgjerning,Husarbeid,regel,
Hjemmevær. Barn,4,Husgjerning,Husarbeid,regel,forsørget av familien
Svigermor,4,Forsørges av familie/privat,Forsørget,regel,"familiestilling, ikke yrke"
Malerlerling,3,Malerlærling,Bygg og anlegg,regel,maler = bygningsmaler
Murerarbeider,3,Murer,Bygg og anlegg,regel,maler = bygningsmaler
Murmester,3,Murermester,Bygg og anlegg,regel,maler = bygningsmaler
Rørlægger,3,Rørlegger,Bygg og anlegg,regel,maler = bygningsmaler
"Stenhugger, Id",3,Stenhugger,Bygg og anlegg,regel,maler = bygningsmaler
Ofentlig understøttelse,3,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Offentlig understøttelse,3,Offentlig understøttet,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Rentier,3,Lever av egne midler,Forsørget,regel,"gårdeier i by = leieinntekter, derfor hit og ikke Jordbruk"
Artist Omreisende KunstCyklist,3,Omreisende kunstsyklist,Frie yrker,regel,prester og forkynnere ligger her; egen kategori mulig
i Butik,3,Butikkmedarbeider,Handel,regel,
Kreaturshandlande,3,Kreaturhandler/kveghandler,Handel,regel,
Skibsmægler,3,Skipsmegler,Handel,regel,"reder/megler er forretning, ikke mannskap"
Uldvarehandler,3,Ullvarehandler,Handel,regel,
Jordemoder,3,Jordmor,Helse,regel,
Datter Husgjerning,3,Husgjerning,Husarbeid,regel,
Husets gjerninger,3,Husgjerning,Husarbeid,regel,
Husets stel,3,Husgjerning,Husarbeid,regel,
Husjerning,3,Husgjerning,Husarbeid,regel,
Huslig Syssel,3,Husgjerning,Husarbeid,regel,
husmor,3,Hustru/husmor,Husarbeid,regel,
Steller huset,3,Husgjerning,Husarbeid,regel,
"Maanedskondition, Husgjerning",3,Tjenestepige/husholderske,Huslig tjeneste,manuell,
stuepige,3,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjener,3,Tjener,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
tjeneste Pige,3,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Tjenestepige husgjerning,3,Tjenestepige/husholderske,Huslig tjeneste,manuell,
"Tjenestepige, kokke",3,Tjenestepige/husholderske,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vask og Rengjøring,3,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Vaskekone Off. understøttet,3,Vaskekone,Huslig tjeneste,regel,"husholderske/husbestyrerinde = lønnet, derfor hit og ikke Husarbeid"
Barberlærling,3,Barberer,Håndverk,regel,lærling uten fag: antatt håndverk
Blikkenslagersvend,3,Blikkenslagersvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Guldsmedsvend,3,Gullsmedsvenn,Håndverk,regel,lærling uten fag: antatt håndverk
Jerndreier,3,Jerndreier,Industri,regel,lærling uten fag: antatt håndverk
Læredreng,3,Lærling,Håndverk,regel,lærling uten fag: antatt håndverk
Mekaniker,3,Mekaniker,Industri,regel,lærling uten fag: antatt håndverk
Sadelmagerlærling,3,Sadelmakerlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Snedkerlærling,3,Snekkerlærling,Håndverk,regel,lærling uten fag: antatt håndverk
Sætterske Typograf,3,Typograf,Håndverk,regel,lærling uten fag: antatt håndverk
Uhrmager,3,Urmaker,Håndverk,regel,lærling uten fag: antatt håndverk
Uhrmagermester,3,Urmakermester,Håndverk,regel,lærling uten fag: antatt håndverk
Arbeider på tændstikfabrik,3,Fyrstikkfabrikkarbeider,Industri,regel,
Arbeider paa Væveriet,3,Veveriarbeider,Industri,regel,
Fabrikarbeiderske Fyrstikfabrikarbeiderske,3,Fyrstikkfabrikkarbeider,Industri,regel,
Fyrstikarbeider,3,Fyrstikkfabrikkarbeider,Industri,regel,
Fyrstikfabrikarb.ske,3,Fyrstikkfabrikkarbeider,Industri,regel,
Gardinfabrikarbeiderske,3,Gardinfabrikkarbeider,Industri,regel,
Gardinvæver,3,Veveriarbeider,Industri,regel,
Kofurtfabrik arbeiderske,3,Reiseeffektarbeider,Industri,regel,
Kuffertarbeider,3,Reiseeffektarbeider,Industri,regel,
Notlerske hos O Dahl,3,Notler/notlerske,Industri,regel,
Skoarbeiderske hos Halvorsen,3,Skofabrikarbeider,Industri,regel,
Skofabriksarbeiderske,3,Skofabrikarbeider,Industri,regel,
Spigerkliper,3,Spikerklipper,Industri,regel,
Veveriarbeiderske,3,Veveriarbeider,Industri,regel,
Væveriarbeiderske,3,Veveriarbeider,Industri,regel,
Gartner,3,Gartner,Jordbruk,regel,
Gaardbruger,3,Gårdbruker,Jordbruk,regel,
Jordbrugsarbeider,3,Gårdsarbeider,Jordbruk,regel,
Contordame,3,Kontordame,Kontor og forvaltning,regel,formann/mester uten bransje: se notat
Handelsfuldmægtig,3,Handelsfullmektig,Kontor og forvaltning,regel,formann/mester uten bransje: se notat
Kassererske handelsforret.,3,Kasserer,Kontor og forvaltning,regel,formann/mester uten bransje: se notat
Meieripige,3,Meierijomfru,Mat og drikke,regel,
Pølsemagerlærling,3,Pølsemakerlærling,Mat og drikke,regel,
Pølsemagersvend,3,Pølsemakersvenn,Mat og drikke,regel,
Spisevært,3,Spisevert/-vertinne,Mat og drikke,regel,
Musikkorporal,3,Musikkorporal,Militær,regel,slumoffiser/frelsesarmé regnet hit; kan diskuteres
Sergent,3,Sersjant,Militær,regel,slumoffiser/frelsesarmé regnet hit; kan diskuteres
Kommunearbeider,3,Kommunearbeider,Offentlig tjeneste,regel,
Kommunearbeider i Kommunens Tjeneste,3,Kommunearbeider,Offentlig tjeneste,regel,
Samlagsforstander,3,Forstander ved brennevinssamlaget,Offentlig tjeneste,regel,
Toldbetjent,3,Tollbetjent,Offentlig tjeneste,regel,
forhv. Skibsfører,3,Forsørget,Forsørget,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Skibskaptein,3,Skipsfører,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Stuer & Løsarbeider,3,Stuer/bryggearbeider,Sjøfart,manuell,
Sømand Matros,3,Matros,Sjøfart,regel,fyrbøder antatt til sjøs; tvil der kontekst mangler
Borgerskoleelev,3,Skolebarn,Skoleelev,regel,
Folkeskoleelev,3,Skolebarn,Skoleelev,regel,
Forskoleelev,3,Skolebarn,Skoleelev,regel,
Paa Skolen,3,Skolebarn,Skoleelev,regel,
Skole-Barn,3,Skolebarn,Skoleelev,regel,
Skoledicippel,3,Skolebarn,Skoleelev,regel,"fallback-regel, sjekket manuelt"
Skoleelev intet,3,Skolebarn,Skoleelev,regel,"fallback-regel, sjekket manuelt"
Skolesøgende Datter,3,Skolesøkende,Skoleelev,regel,"fallback-regel, sjekket manuelt"
Skolleplitig,3,Skolebarn,Skoleelev,regel,
Student,3,Gymnasiast,Skoleelev,regel,
Broderiforretning,3,Syforretning,Tekstil og søm,regel,
Dameskrædder,3,Motehandler,Tekstil og søm,regel,
Kjolesømforretning,3,Sypike/syerske,Tekstil og søm,regel,
Lærling i kjolesøm,3,Skredderlærling,Tekstil og søm,regel,
Modehandlerinde,3,Motehandler,Tekstil og søm,regel,
Strikkerske,3,Strikkerske,Tekstil og søm,regel,
Sypige i Husene,3,Sypike/syerske,Tekstil og søm,regel,
Jernbanearbeider,3,Jernbanearbeider,Transport,regel,"jernbane samlet her, også funksjonærene"
Kjører egen Hest,3,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
Visergut hos handlende,3,Visegutt,Transport,manuell,bud/visergutt regnes som transport uansett arbeidssted
Vognmand,3,Vognmann/kjører,Transport,regel,"jernbane samlet her, også funksjonærene"
arb Høvleriet,3,Høvleriarbeider,Treindustri,regel,
Arbeider Saugbrugsf. %foreningen%,3,Sagbruksarbeider,Treindustri,regel,
Arbeider ved trælastforretning,3,Trelastarbeider,Treindustri,regel,
Dagarbeider ved Sagene,3,Dagarbeider,Dagarbeid,regel,
Høvleri Arbeider,3,Høvleriarbeider,Treindustri,regel,
Høvleriearbeider,3,Høvleriarbeider,Treindustri,regel,
Sliberiarbeider,3,Sliperiarbeider,Treindustri,regel,
Tomtearbeider ved Sagbrug,3,Tomtearbeider,Treindustri,regel,
Tømmervelter,3,Tomtearbeider,Treindustri,regel,
Barn Intet,3,Barn,Uten registrert yrke,regel,"fallback-regel, sjekket manuelt"
d,3,Barn,Uten registrert yrke,regel,enkeltbokstav = familiestilling fra telleren
Fosterdatter,3,Pleiebarn,Uten registrert yrke,regel,"familiestilling, ikke yrke"
ingen beskjæftigelse,3,Uten yrke,Uten registrert yrke,regel,
Ingen Erhverv,3,Uten yrke,Uten registrert yrke,regel,
kan ikke opgives,3,Ukjent,Uten registrert yrke,regel,
læges datter,3,Barn,Uten registrert yrke,regel,forsørget av familien
Pleiedatter,3,Pleiebarn,Uten registrert yrke,regel,"familiestilling, ikke yrke"
Søn!!,3,Barn,Uten registrert yrke,regel,"familiestilling, ikke yrke"
Arbeider murerarbeid,2,Murer,Bygg og anlegg,regel,maler = bygningsmaler
Bygningssnekker,2,Bygningstømrer/-snekker,Bygg og anlegg,regel,maler = bygningsmaler
Graastenmurer,2,Gråsteinsmurer,Bygg og anlegg,regel,maler = bygningsmaler
HusTømmermand,2,Bygningstømrer/-snekker,Bygg og anlegg,regel,maler = bygningsmaler
Maler,2,Maler,Bygg og anlegg,regel,maler = bygningsmaler
Murer Murersvend Murerarbeide,2,Murersvenn,Bygg og anlegg,regel,maler = bygningsmaler
Murerhaandlanger,2,Murer,Bygg og anlegg,regel,maler = bygningsmaler
